Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7015403,The Gifts of Imperfection,Brené Brown,"Brown, Brené",,159285849X,9781592858491,4,4.20,Hazelden Publishing,Paperback,138,2010,2010,2019/01/09,2017/12/09,,,read,,,,1,,,0,,,,,
5797,Vanity Fair,William Makepeace Thackeray,"Thackeray, William Makepeace",John Carey,0141439831,9780141439839,0,3.79,Penguin Books,Paperback,867,2003,1848,,2018/12/26,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
782519,New Grub Street,George Gissing,"Gissing, George",,0140430326,9780140430325,0,3.75,Penguin Classics,Paperback,560,1976,1891,,2018/12/26,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
105992,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,"Bugliosi, Vincent",Curt Gentry,0393322238,9780393322231,0,4.04,W. W. Norton  Company,Paperback,689,2001,1974,,2018/12/25,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
653651,Nights at the Circus,Angela Carter,"Carter, Angela",,0140077030,9780140077032,0,3.91,Penguin Books,Paperback,295,1986,1984,,2018/12/25,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,0735224293,9780735224292,0,4.09,Penguin Press,Hardcover,338,2017,2017,,2018/12/25,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
104089,Tigana,Guy Gavriel Kay,"Kay, Guy Gavriel",,0451457765,9780451457769,0,4.06,Roc,Paperback,676,1999,1990,,2018/12/25,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
40091211,Murder by the Book: A Sensational Chapter in Victorian Crime,Claire Harman,"Harman, Claire",,,,0,3.21,Penguin,Kindle Edition,180,2018,2018,,2018/12/25,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
31173,Villette,Charlotte Brontë,"Brontë, Charlotte","Ignes Sodre, A.S. Byatt",,,2,3.77,Modern Library,Paperback,573,2001,1853,,2013/01/12,,,read,,,,1,,,0,,,,,
72929,Affinity,Sarah Waters,"Waters, Sarah",,1573228737,9781573228732,3,3.74,Riverhead Books,Paperback,352,2002,1999,,2013/12/26,,,read,,,,1,,,0,,,,,
298230,Agnes Grey,Anne Brontë,"Brontë, Anne","Harry Brockway, Angeline Goreau",0140432108,9780140432107,3,3.69,Penguin Books,Paperback,251,1988,1847,,2012/08/25,,,read,,,,1,,,0,,,,,
550720,The Night Watch,Sarah Waters,"Waters, Sarah",,1594482306,9781594482304,5,3.67,Riverhead Books ,Paperback,528,2006,2006,2018/12/24,2013/11/15,,,read,,,,1,,,0,,,,,
5326,A Christmas Carol,Charles Dickens,"Dickens, Charles",Joe L. Wheeler,1561797464,9781561797462,4,4.07,Bethany House Publishers ,Paperback,104,1999,1843,2018/12/17,2018/12/09,,,read,,,,1,,,0,,,,,
11202585,Charles Dickens,Claire Tomalin,"Tomalin, Claire",,1594203091,9781594203091,0,3.84,The Penguin Press,Hardcover,527,2011,2011,,2018/11/20,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
33299154,"Rotherweird (Rotherweird, #1)",Andrew Caldecott,"Caldecott, Andrew",Sasha Laika,,,2,3.65,,ebook,480,2017,2017,2018/11/14,2018/05/12,,,read,,,,1,,,0,,,,,
34146665,Reservoir 13,Jon McGregor,"McGregor, Jon",,1936787709,9781936787708,3,3.56,Catapult,Paperback,291,2017,2017,2018/10/23,2018/04/22,,,read,,,,1,,,0,,,,,
60931,Kindred,Octavia E. Butler,"Butler, Octavia E.",,0807083690,9780807083697,3,4.27,Beacon Press,Paperback,287,2004,1979,2018/09/01,2018/08/15,,,read,,,,1,,,0,,,,,
35711376,Elmet,Fiona Mozley,"Mozley, Fiona",,1473660548,9781473660540,4,3.80,JM Originals,Paperback,311,2017,2017,2018/09/13,2018/09/01,,,read,,,,1,,,0,,,,,
526869,Peyton Place,Grace Metalious,"Metalious, Grace",Ardis Cameron,1555534007,9781555534004,0,3.77,Northeastern University Press,Paperback,384,1999,1956,,2018/09/09,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
15055,Oranges Are Not the Only Fruit,Jeanette Winterson,"Winterson, Jeanette",,,,0,3.73,Grove Press,Paperback,176,1997,1985,,2018/09/01,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
385068,Those Who Walk Away,Patricia Highsmith,"Highsmith, Patricia",,0871132591,9780871132598,0,3.48,Atlantic Monthly Press,Paperback,264,1994,1967,,2018/09/01,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
276203,The Blunderer,Patricia Highsmith,"Highsmith, Patricia",,0393322440,9780393322446,0,3.73,W. W. Norton  Company,Paperback,288,2001,1954,,2018/09/01,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
31242,Bleak House,Charles Dickens,"Dickens, Charles","Nicola Bradbury, Hablot Knight Browne",0143037617,9780143037613,0,4.00,Penguin Books,Paperback,1017,2006,1853,,2018/09/01,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
31244,Our Mutual Friend,Charles Dickens,"Dickens, Charles",,0375761144,9780375761140,4,4.08,Modern Library,Paperback,801,2002,1865,2018/08/21,2017/11/28,,,read,,,,1,,,0,,,,,
31250,Little Dorrit,Charles Dickens,"Dickens, Charles","Stephen J. Wall, Helen Small",,,0,3.99,Penguin Classics,Paperback,1021,2003,1855,,2018/07/22,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
32191820,The Coroner's Daughter,Andrew   Hughes,"Hughes, Andrew",,1681774119,9781681774114,3,3.86,Pegasus Books,Hardcover,304,2017,2015,2018/07/15,2018/02/17,,,read,,,,1,,,0,,,,,
23347053,Curtain Call,Anthony   Quinn,"Quinn, Anthony",,0224099582,9780224099585,4,3.67,Jonathan Cape,Hardcover,326,2015,2015,2018/07/13,2018/05/31,,,read,,,,1,,,0,,,,,
581811,Valley of the Dolls,Jacqueline Susann,"Susann, Jacqueline",,0802135196,9780802135193,5,3.76,Grove Press,Paperback,442,1997,1966,2018/05/31,2017/12/09,,,read,,,,1,,,0,,,,,
427281,Deep Water,Patricia Highsmith,"Highsmith, Patricia",,0393324559,9780393324556,0,3.76,W. W. Norton  Company,Paperback,271,2003,1957,,2018/06/21,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
15677,Strangers on a Train,Patricia Highsmith,"Highsmith, Patricia",,0393321983,9780393321982,5,3.79,W. W. Norton & Company,Paperback,281,2001,1950,2018/06/20,2018/05/30,,,read,,,,1,,,0,,,,,
29397486,Conclave,Robert   Harris,"Harris, Robert",,,,3,3.95,Cornerstone Digital,Kindle Edition,287,2016,2016,2018/05/28,2018/05/28,,,read,,,,1,,,0,,,,,
12296,The Scarlet Letter,Nathaniel Hawthorne,"Hawthorne, Nathaniel","Thomas E. Connolly, Nina Baym",0142437263,9780142437261,0,3.42,Penguin Books,Paperback,279,2003,1850,,2018/05/31,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,,,0,3.82,Tor Books,Paperback,1006,2006,2004,,2018/04/22,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
21965107,The Children Act,Ian McEwan,"McEwan, Ian",,0385539703,9780385539708,4,3.70,Nan A. Talese,Hardcover,221,2014,2014,2018/04/22,2017/12/28,,,read,,,,1,,,0,,,,,
310612,A Confederacy of Dunces,John Kennedy Toole,"Toole, John Kennedy",Walker Percy,0802130208,9780802130204,0,3.88,Grove Press,Paperback,394,1994,1980,,2018/04/06,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
